map_file	old	new	result
curriculum/ontario/maps/secondary/MDM4U.md	 curriculum/ontario/pdfs/math1112currb.pdf	curriculum/ontario/pdfs/math1112currb.pdf	UPDATED
curriculum/ontario/maps/secondary/MCR3U.md	 curriculum/ontario/pdfs/math1112currb.pdf	curriculum/ontario/pdfs/math1112currb.pdf	UPDATED
curriculum/ontario/maps/secondary/MBF3C.md	 curriculum/ontario/pdfs/math1112currb.pdf	curriculum/ontario/pdfs/math1112currb.pdf	UPDATED
curriculum/ontario/maps/secondary/MCF3M.md	 curriculum/ontario/pdfs/math1112currb.pdf	curriculum/ontario/pdfs/math1112currb.pdf	UPDATED
curriculum/ontario/maps/secondary/ENL4W.md	 curriculum/ontario/pdfs/english1112curriculum.pdf	curriculum/ontario/pdfs/english1112curriculum.pdf	UPDATED
curriculum/ontario/maps/secondary/ENG4E.md	 curriculum/ontario/pdfs/english1112curriculum.pdf	curriculum/ontario/pdfs/english1112curriculum.pdf	UPDATED
curriculum/ontario/maps/secondary/ENL1W.md	 curriculum/ontario/pdfs/english910currb.pdf	curriculum/ontario/pdfs/english910currb.pdf	UPDATED
curriculum/ontario/maps/secondary/ENL3W.md	 curriculum/ontario/pdfs/english1112curriculum.pdf	curriculum/ontario/pdfs/english1112curriculum.pdf	UPDATED
curriculum/ontario/maps/secondary/ENG2D.md	 curriculum/ontario/pdfs/english910currb.pdf	curriculum/ontario/pdfs/english910currb.pdf	UPDATED
curriculum/ontario/maps/secondary/_TEMPLATE_SECONDARY_MAP.md	 curriculum/ontario/<official-source>.pdf		PDF_NOT_FOUND
curriculum/ontario/maps/secondary/ENL2W.md	 curriculum/ontario/pdfs/english910currb.pdf	curriculum/ontario/pdfs/english910currb.pdf	UPDATED
curriculum/ontario/maps/secondary/MHF4U.md	 curriculum/ontario/pdfs/math1112currb.pdf	curriculum/ontario/pdfs/math1112currb.pdf	UPDATED
curriculum/ontario/maps/secondary/MCV4U.md	 curriculum/ontario/pdfs/math1112currb.pdf	curriculum/ontario/pdfs/math1112currb.pdf	UPDATED
curriculum/ontario/maps/secondary/MTH1W.md	 curriculum/ontario/pdfs/Math_9_Workplace.pdf	curriculum/ontario/pdfs/Math_9_Workplace.pdf	UPDATED
